reg_no,di_count,outlier_type,di,device_record_key,version_time
国械注准20243131618,2582,A,06932372344045,0693237234404520250826093649787,2025-08-27
国械注准20243131618,2582,A,06932372344052,0693237234405220250826093649788,2025-08-27
国械注准20243131618,2582,A,06932372344069,0693237234406920250826093649789,2025-08-27
国械注准20243131618,2582,A,06932372344076,0693237234407620250826093649790,2025-08-27
国械注准20243131618,2582,A,06932372344083,0693237234408320250826093649791,2025-08-27
国械注准20243131618,2582,A,06932372344090,0693237234409020250826093649792,2025-08-27
国械注准20243131618,2582,A,06932372344106,0693237234410620250826093649793,2025-08-27
国械注准20243131618,2582,A,06932372344113,0693237234411320250826093649794,2025-08-27
国械注准20243131618,2582,A,06932372344120,0693237234412020250826093649795,2025-08-27
国械注准20243131618,2582,A,06932372344137,0693237234413720250826093649796,2025-08-27
国械注准20233130399,2234,A,06942074600073,d8db28ba830d427c964dc9d2da79aa87,2025-08-21
国械注准20233130399,2234,A,06942074600080,04129d86864e485ab4a7752bb261a175,2025-08-21
国械注准20233130399,2234,A,06942074600097,79aaac3f93744006864be6fe2c0991b5,2025-08-21
国械注准20233130399,2234,A,06942074600103,78e0c2b7587b474c888e87ca4653ded3,2025-08-21
国械注准20233130399,2234,A,06942074600110,e88d01e189b4473ca11ea1f04375fdcf,2025-08-21
国械注准20233130399,2234,A,06942074600127,5206e58da4ce492694ae6b64248d2d39,2025-08-21
国械注准20233130399,2234,A,06942074600134,037686856c0c4034aa1524fa4cb1933e,2025-08-21
国械注准20233130399,2234,A,06942074600141,bd9dd78f639f4cae90a517b03f3be0e0,2025-08-21
国械注准20233130399,2234,A,06942074600158,ce2a8118644d495d9e9b33f73616284e,2025-08-21
国械注准20233130399,2234,A,06942074600165,68fa4bc520ce49f8a2224d1e320041d4,2025-08-21
苏械注准20242042183,412,B,06932612846575,f56d5f622a344267b7f6938ef71d64f1,2025-08-27
苏械注准20242042183,412,B,06932612846582,0fa4791ac5794b80a71c336770e5d64e,2025-08-27
苏械注准20242042183,412,B,06932612846599,912f42718a8a46d6ba8d0a0ddf20bc35,2025-08-27
苏械注准20242042183,412,B,06932612846605,b78c505ce2234052950d6a6238e1d183,2025-08-27
苏械注准20242042183,412,B,06932612846612,250626e2b44d459aa6d62969701ad4b9,2025-08-27
苏械注准20242042183,412,B,06932612846629,7766d5c5a3d848a490133178fd92eaeb,2025-08-27
苏械注准20242042183,412,B,06932612846636,2699a74fbf164df79511050e93f2dabe,2025-08-27
苏械注准20242042183,412,B,06932612846711,1221910ce97447fb935136294946c166,2025-08-27
苏械注准20242042183,412,B,06932612846728,2496bce1568149988015326f35248579,2025-08-27
苏械注准20242042183,412,B,06932612846735,7eb466d581df4b4da2f342aaf791796c,2025-08-27
国械注准20163161745,337,B,06942569406340,67528af1a48f4c9fb2ece09f2e2c93e3,2025-08-21
国械注准20163161745,337,B,06942569406357,00acc671a56646e7aeebfd026eef1e6e,2025-08-21
国械注准20163161745,337,B,06942569406364,f8ad099173424048a835e29513ad1b29,2025-08-21
国械注准20163161745,337,B,06942569406371,aeffdd7432214e71baf81dc96c9a8ff9,2025-08-21
国械注准20163161745,337,B,06942569406388,061fba181427452099eaabd97520e0d1,2025-08-21
国械注准20163161745,337,B,06942569406395,24aab8fbb66d4bbb821b36261bb50e88,2025-08-21
国械注准20163161745,337,B,06942569406401,16cbc0ba81854c7fb138a9b3dc5fd73f,2025-08-21
国械注准20163161745,337,B,06942569406418,2e92e1b0dfe7469199da1977c184c0a9,2025-08-21
国械注准20163161745,337,B,06942569406425,35f04ffc529843ff842d8737662a1fd2,2025-08-21
国械注准20163161745,337,B,06942569406432,8c4eefdbfd524c348ab651816fb74a75,2025-08-21
沪械注准20212040585,292,B,06936844621030,06936844621030202508260303141,2025-08-27
沪械注准20212040585,292,B,06936844621047,06936844621047202508260303142,2025-08-27
沪械注准20212040585,292,B,06936844621054,06936844621054202508260303143,2025-08-27
沪械注准20212040585,292,B,06936844621061,06936844621061202508260303144,2025-08-27
沪械注准20212040585,292,B,06936844621078,06936844621078202508260303145,2025-08-27
沪械注准20212040585,292,B,06936844621085,06936844621085202508260303146,2025-08-27
沪械注准20212040585,292,B,06936844621092,06936844621092202508260303147,2025-08-27
沪械注准20212040585,292,B,06936844621108,06936844621108202508260303148,2025-08-27
沪械注准20212040585,292,B,06936844621115,06936844621115202508260303149,2025-08-27
沪械注准20212040585,292,B,06936844621122,069368446211222025082603031410,2025-08-27
国械注准20223160393,277,B,06941938250348,89a03fc2fe49456d949a48e0fcfb82e2,2025-08-27
国械注准20223160393,277,B,06941938250355,3f6f87f3bc064028a34936631faba4c8,2025-08-27
国械注准20223160393,277,B,06941938250362,e800df8e0e3846ed9f3c5ca7271fa80e,2025-08-27
国械注准20223160393,277,B,06941938250379,c2051c9cc95f4636a114f11922abec71,2025-08-27
国械注准20223160393,277,B,06941938250386,b65d558a17ca457dace70874e0a8bf15,2025-08-27
国械注准20223160393,277,B,06941938250393,e0230397e5b547b4ac00a09dc3118fe8,2025-08-27
国械注准20223160393,277,B,06941938250409,4ca2fd3c91804efdbb5081216f428515,2025-08-27
国械注准20223160393,277,B,06941938250416,f0ad289ad8c641e1980cd345cece6d91,2025-08-27
国械注准20223160393,277,B,06941938250423,baec941d191744c1a1a5c78859b679d4,2025-08-27
国械注准20223160393,277,B,06941938250430,48dfd2bd91524405b917d960dc0eeb1c,2025-08-27
国械注许20233160006,222,B,04719897435999,04719897435999202508190346311,2025-08-20
国械注许20233160006,222,B,04719897436002,047198974360022025081903463110,2025-08-20
国械注许20233160006,222,B,04719897436019,047198974360192025081903463121,2025-08-20
国械注许20233160006,222,B,04719897436026,04719897436026202508190346316,2025-08-20
国械注许20233160006,222,B,04719897436033,047198974360332025081903463122,2025-08-20
国械注许20233160006,222,B,04719897436040,047198974360402025081903463137,2025-08-20
国械注许20233160006,222,B,04719897436057,047198974360572025081903463111,2025-08-20
国械注许20233160006,222,B,04719897436064,047198974360642025081903463112,2025-08-20
国械注许20233160006,222,B,04719897436071,047198974360712025081903463133,2025-08-20
国械注许20233160006,222,B,04719897436088,04719897436088202508190346312,2025-08-20
